Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,18.84,25.36,23.6,22.38,25.42,24.27,30.58,28.06,26.78,31.56,21.31,25.59
2013,24.29,23.94,23.89,27.13,23.27,23.55,26.33,27.75,28.06,25.9,23.52,26.23
2014,20.51,23.8,23.71,23.49,27.44,25.1,29.65,31.3,28.8,27.53,26.09,28.67
2015,17.93,23.11,29.71,22.08,24.73,27.76,29.43,28.86,27.76,26.08,25.93,26.55
2016,24.3,27.85,28.5,19.84,24.57,24.56,28.21,27.54,25.86,26.14,28.19,26.61
2017,23.39,28.58,25.47,19.83,23.93,26.12,25.09,26.86,25.35,27.6,25.32,21.87
2018,24.55,24.67,25.55,18.47,26.48,27.54,29.9,27.75,27.44,29.6,26.22,25.28
2019,19.94,24.56,30.05,18.12,25.2,24.83,30.6,28.96,29.6,30.93,24.2,23.19
2020,28.23,28.22,28.42,22.77,29.44,21.46,20.2,18.08,17.88,18.56,23.62,27.69
2021,22.26,25.75,22.34,22.18,25.65,26.93,28.43,22.81,23.06,21.3,19.84,23.09
2022,17.65,17.46,21.58,25.95,26.91,26.94,30.85,24.87,27.4,23.04,19.53,18.77
2023,19.63,21.29,22.0,22.13,24.85,25.94,26.11,27.14,23.4,25.66,21.53,21.87
2024,25.96,23.3,29.29,20.6,23.39,22.76,18.67,18.29,19.88,12.91,14.19,19.24
2025,8.87,19.23,28.07,17.69,22.58,24.43,29.9,0.0,0.0,0.0,0.0,0.0
